"medcodeid" "depression_broad_ext_cat"
"1" "7965191000006118" "recurrent_diag"
"2" "7803731000006112" "diagnosis"
"3" "7803711000006118" "diagnosis"
"4" "7788661000006119" "diagnosis"
"5" "7695931000006118" "diagnosis"
"6" "7515151000006115" "remission"
"7" "7382291000006112" "diagnosis"
"8" "7127661000006118" "diagnosis"
"9" "7061221000006119" "remission"
"10" "6337501000006112" "diagnosis"
"11" "6337491000006116" "diagnosis"
"12" "6201561000006118" "diagnosis"
"13" "6000711000006112" "diagnosis"
"14" "5359021000006116" "diagnosis"
"15" "5106061000006117" "diagnosis"
"16" "5106051000006119" "diagnosis"
"17" "5024511000006118" "diagnosis"
"18" "5024071000006118" "diagnosis"
"19" "5023901000006110" "diagnosis"
"20" "4539971000006110" "history"
"21" "3767531000006119" "diagnosis"
"22" "3743451000006110" "diagnosis"
"23" "3700911000006115" "diagnosis"
"24" "3628471000006116" "diagnosis"
"25" "3606411000006115" "remission"
"26" "3578861000006116" "recurrent_diag"
"27" "3578851000006118" "recurrent_diag"
"28" "3537261000006119" "diagnosis"
"29" "3531371000006112" "remission"
"30" "3286331000006115" "diagnosis"
"31" "3192061000006110" "diagnosis"
"32" "3190221000006112" "remission"
"33" "3153071000006116" "recurrent_diag"
"34" "3149661000006117" "recurrent_diag"
"35" "3140411000006112" "recurrent_diag"
"36" "3094951000006111" "diagnosis"
"37" "3087971000006112" "recurrent_diag"
"38" "3071801000006112" "diagnosis"
"39" "3071791000006111" "diagnosis"
"40" "3033261000006113" "partial_remission"
"41" "2993091000006116" "partial_remission"
"42" "2957311000006113" "recurrent_diag"
"43" "2914841000006115" "diagnosis"
"44" "2821731000006115" "diagnosis"
"45" "2798691000006112" "recurrent_diag"
"46" "2730011000000110" "recurrent_diag"
"47" "2729991000000112" "recurrent_diag"
"48" "2729751000000118" "recurrent_diag"
"49" "2724681000006112" "chronic_diag"
"50" "2659601000000116" "support"
"51" "2620391000000111" "diagnosis"
"52" "2540711000006115" "chronic_diag"
"53" "2391541000000115" "support"
"54" "2370061000000111" "support"
"55" "1976491000006113" "diagnosis"
"56" "1976411000006115" "recurrent_diag"
"57" "1976271000006113" "recurrent_diag"
"58" "1976251000006115" "recurrent_diag"
"59" "1976231000006110" "recurrent_diag"
"60" "1976211000006116" "recurrent_diag"
"61" "1976051000006112" "diagnosis"
"62" "1976021000006115" "diagnosis"
"63" "1975991000006112" "diagnosis"
"64" "1975981000006114" "diagnosis"
"65" "1972111000006114" "diagnosis"
"66" "1823881000006110" "diagnosis"
"67" "1785881000006119" "diagnosis"
"68" "1755911000006110" "remission"
"69" "1755901000006112" "remission"
"70" "1715781000006110" "diagnosis"
"71" "1715771000006112" "diagnosis"
"72" "1715191000006112" "diagnosis"
"73" "1715181000006114" "diagnosis"
"74" "1680571000006118" "admin"
"75" "999911000006111" "qic_declined"
"76" "999901000006113" "qic_unsuitable"
"77" "967791000006111" "diagnosis"
"78" "909681000006110" "diagnosis"
"79" "908731000006114" "diagnosis"
"80" "882831000006113" "diagnosis"
"81" "882821000006110" "diagnosis"
"82" "882811000006119" "diagnosis"
"83" "882681000006110" "diagnosis"
"84" "882671000006112" "diagnosis"
"85" "882421000006113" "diagnosis"
"86" "882401000006115" "diagnosis"
"87" "853871000006111" "diagnosis"
"88" "681801000000113" "history"
"89" "677321000006115" "diagnosis"
"90" "677031000006115" "diagnosis"
"91" "675861000006113" "diagnosis"
"92" "642461000006116" "diagnosis"
"93" "613791000006115" "diagnosis"
"94" "613781000006118" "diagnosis"
"95" "525921000006119" "diagnosis"
"96" "513861000006113" "remission"
"97" "513721000006114" "diagnosis"
"98" "488211000006112" "diagnosis"
"99" "474171000006112" "diagnosis"
"100" "432511000006119" "recurrent_diag"
"101" "426991000006118" "diagnosis"
"102" "426981000006116" "diagnosis"
"103" "426971000006119" "diagnosis"
"104" "426961000006114" "diagnosis"
"105" "426951000006112" "diagnosis"
"106" "426941000006110" "diagnosis"
"107" "426931000006117" "diagnosis"
"108" "426921000006115" "diagnosis"
"109" "426911000006111" "diagnosis"
"110" "426891000006114" "diagnosis"
"111" "425751000006115" "diagnosis"
"112" "425691000006119" "diagnosis"
"113" "425561000006114" "diagnosis"
"114" "425501000006113" "diagnosis"
"115" "425411000006110" "diagnosis"
"116" "424681000006118" "recurrent_diag"
"117" "424671000006116" "recurrent_diag"
"118" "424651000006114" "recurrent_diag"
"119" "424641000006112" "recurrent_diag"
"120" "424631000006119" "recurrent_diag"
"121" "424571000006115" "recurrent_diag"
"122" "424561000006110" "recurrent_diag"
"123" "424551000006113" "recurrent_diag"
"124" "424541000006111" "recurrent_diag"
"125" "424531000006118" "recurrent_diag"
"126" "423611000006111" "diagnosis"
"127" "423141000006115" "diagnosis"
"128" "423131000006113" "diagnosis"
"129" "423041000006119" "diagnosis"
"130" "419841000006116" "persistent_diag"
"131" "408601000000116" "review_invite"
"132" "408581000000113" "review_invite"
"133" "408561000000116" "review_invite"
"134" "408541000000117" "review_invite"
"135" "408521000000112" "review_invite"
"136" "406881000000111" "admin"
"137" "399961000006118" "diagnosis"
"138" "399841000006110" "diagnosis"
"139" "398841000006119" "diagnosis"
"140" "398561000006117" "diagnosis"
"141" "398351000006110" "diagnosis"
"142" "396781000006119" "diagnosis"
"143" "396771000006117" "diagnosis"
"144" "396081000006116" "recurrent_diag"
"145" "379781000006118" "diagnosis"
"146" "379771000006116" "diagnosis"
"147" "379431000006113" "diagnosis"
"148" "376751000006117" "diagnosis"
"149" "376741000006119" "diagnosis"
"150" "376721000006114" "diagnosis"
"151" "376711000006118" "diagnosis"
"152" "376701000006116" "diagnosis"
"153" "376691000006116" "diagnosis"
"154" "367061000006114" "diagnosis"
"155" "366561000006119" "diagnosis"
"156" "359121000006116" "diagnosis"
"157" "300711000000119" "support"
"158" "294621000000118" "resolved"
"159" "294081000000110" "admin"
"160" "226581000000119" "admin"
"161" "226411000000110" "admin"
"162" "223741000000112" "diagnosis"
"163" "223651000000118" "diagnosis"
"164" "213641000000111" "diagnosis"
"165" "202561000006114" "diagnosis"
"166" "182801000006114" "partial_remission"
"167" "182771000006112" "recurrent_diag"
"168" "182721000006111" "recurrent_diag"
"169" "142541000006115" "diagnosis"
"170" "142521000006110" "partial_remission"
"171" "3517985017" "remission"
"172" "2534096013" "review"
"173" "2534092010" "review"
"174" "2534091015" "review"
"175" "2533375017" "support"
"176" "2474716016" "admin"
"177" "2474715017" "admin"
"178" "1773563015" "support"
"179" "1488771018" "support"
"180" "1231868010" "diagnosis"
"181" "1222477019" "diagnosis"
"182" "441826016" "diagnosis"
"183" "410861011" "recurrent_diag"
"184" "401876017" "recurrent_diag"
"185" "401873013" "recurrent_diag"
"186" "401872015" "diagnosis"
"187" "401871010" "diagnosis"
"188" "401869010" "diagnosis"
"189" "401866015" "diagnosis"
"190" "401766011" "diagnosis"
"191" "369982012" "diagnosis"
"192" "346973011" "diagnosis"
